hit_distance_sc,launch_speed,launch_angle
404,103.3,25
399,102.5,25
381,102,25
348,99.1,39
414,105.5,34
357,102.4,27
406,107.2,26
384,103.7,37
372,101.5,35
400,102.6,26
395,102.8,24
416,107.3,26
393,102.1,28
405,103.7,25
337,96.7,32
353,97.3,40
385,101.4,28
338,95.7,28
407,104.4,28
411,108,27
398,103.9,27
402,104.5,32
396,107,26
389,104.5,24
399,106.2,26
392,106.5,24
490,110.6,28
394,103.1,31
375,97.9,22
408,103.6,24
411,105.3,22
383,97.2,30
348,101.3,24
418,105.7,30
407,103.4,29
341,98.2,40
374,97.9,36
417,107.9,35
369,101.2,26
399,104.6,33
411,104.9,28
398,104.1,29
396,107.8,20
428,107.2,27
406,105.7,37
383,101.7,37
396,106.2,38
426,110.6,24
399,102.5,27
420,104.7,21
379,101.6,30
401,106.7,34
405,105.5,28
347,107.9,22
373,103.7,22
401,102.8,34
408,104.4,23
360,101.9,26
362,99.6,29
393,106.4,24
397,106.7,21
381,103.3,34
399,104.6,24
421,110.6,31
417,105.4,26
401,102,28
377,102.1,37
409,108.5,22
378,97.8,32
392,103.1,27
409,102.3,30
406,104.8,30
410,105.1,35
424,106.7,28
439,108.9,26
389,102.8,27
391,100.2,35
397,98.5,25
361,99.4,25
379,105.4,20
392,101.7,33
400,105.5,35
422,107.8,30
427,106.8,27
381,110.7,24
389,110.6,38
347,107.4,20
367,103.4,39
379,101.7,32
412,102.1,31
376,103.3,23
359,99,26
399,107.2,29
423,103.8,27
457,113.3,24
395,107,35
400,105.9,27
427,108.7,26
394,106.3,31
416,104.5,22
379,96.2,31
395,102.8,32
409,108.9,37
368,105,36
376,97.4,34
364,99.5,40
423,107,31
389,110.4,25
377,103.3,34
388,101.5,31
409,105.3,26
389,101.9,33
386,99.4,29
404,105.7,35
404,106.8,26
415,108,21
395,105.6,30
410,108,32
347,95.8,24
360,98.8,36
407,104.4,24
410,102.5,27
437,112.7,27
409,104.6,27
418,110,29
436,108.8,27
378,102.6,29
356,95.8,31
436,107.9,25
359,95.9,34
382,104.2,39
432,107.7,29
410,108.1,31
419,107.7,32
391,101,26
402,106.1,19
403,102.2,24
402,102.3,28
371,103.6,25
395,105.5,25
394,105.9,40
410,108.8,29
433,106.2,26
433,108.1,28
404,105,23
382,103.8,22
383,104.6,27
395,102.3,31
